年月日,平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
2020/2/1,0,8,1,7.9,8,1,13.4,8,1,3,8,1,0,1,8,1
2020/2/2,5,8,1,8.7,8,1,13.8,8,1,5,8,1,0,1,8,1
2020/2/3,9.5,8,1,9.3,8,1,15.2,8,1,5.3,8,1,0,0,8,1
2020/2/4,6.3,8,1,7.9,8,1,11.4,8,1,4.8,8,1,0,0,8,1
2020/2/5,2.3,8,1,7.6,8,1,15.2,8,1,2.4,8,1,0,1,8,1
2020/2/6,2.5,8,1,2.9,8,1,6.9,8,1,-0.4,8,1,0,1,8,1
2020/2/7,7.3,8,1,2.4,8,1,6.9,8,1,-2.1,8,1,0,1,8,1
2020/2/8,5,8,1,6.2,8,1,12.7,8,1,0.7,8,1,0,0,8,1
2020/2/9,0,8,1,3.9,8,1,8.3,8,1,1.2,8,1,0,1,8,1
2020/2/10,2.8,8,1,4.6,8,1,10.1,8,1,-0.2,8,1,0,1,8,1
2020/2/11,0.3,8,1,6.3,8,1,11.7,8,1,1.1,8,1,0,1,8,1
2020/2/12,7.5,8,1,8.7,8,1,16,8,1,1.9,8,1,0,0,8,1
2020/2/13,5,8,1,11.7,8,1,18.2,8,1,7.8,8,1,0,0,8,1
2020/2/14,7.5,8,1,12,8,1,16,8,1,8.5,8,1,0,0,8,1
2020/2/15,7.3,8,1,12.4,8,1,16.2,8,1,7.6,8,1,0,1,8,1
2020/2/16,10,8,1,9.3,8,1,11.8,8,1,7.8,8,1,8.5,0,8,1
2020/2/17,7.3,8,1,10.3,8,1,16.8,8,1,5.8,8,1,0,0,8,1
2020/2/18,2.8,8,1,7.6,8,1,12.5,8,1,2.8,8,1,0,0,8,1
2020/2/19,4,8,1,8.1,8,1,13.3,8,1,3.6,8,1,0,1,8,1
2020/2/20,7.8,8,1,9,8,1,13.1,8,1,4.7,8,1,0,0,8,1
2020/2/21,2.8,8,1,10,8,1,14.2,8,1,5.4,8,1,0,1,8,1
2020/2/22,6.8,8,1,12.5,8,1,18.2,8,1,6.4,8,1,2.5,0,8,1
2020/2/23,1.8,8,1,10.4,8,1,16,8,1,5.4,8,1,0,1,8,1
2020/2/24,3.3,8,1,9.8,8,1,15.4,8,1,4.6,8,1,0,1,8,1
2020/2/25,10,8,1,10.5,8,1,14.4,8,1,6.2,8,1,0,0,8,1
2020/2/26,10,8,1,8.1,8,1,9.4,8,1,7,8,1,3,0,8,1
2020/2/27,0.8,8,1,7,8,1,11.9,8,1,3.6,8,1,0,0,8,1
2020/2/28,6,8,1,7,8,1,12.4,8,1,1.9,8,1,0,1,8,1
2020/2/29,8,8,1,9.4,8,1,14.4,8,1,5.4,8,1,1,0,8,1
2020/3/1,7.3,8,1,12,8,1,17.9,8,1,6.6,8,1,0.5,0,8,1
2020/3/2,10,8,1,7.3,8,1,11.2,8,1,5.8,8,1,10,0,8,1
2020/3/3,6.5,8,1,11.3,8,1,17.8,8,1,5.3,8,1,0,0,8,1
2020/3/4,10,8,1,8.9,8,1,10.9,8,1,7.9,8,1,1.5,0,8,1
2020/3/5,4.8,8,1,9.2,8,1,13.7,8,1,6.1,8,1,1,0,8,1
2020/3/6,0.3,8,1,9.4,8,1,15.1,8,1,5.4,8,1,0,1,8,1
2020/3/7,10,8,1,7.3,8,1,10.4,8,1,5.2,8,1,1.5,0,8,1
2020/3/8,10,8,1,7.2,8,1,8.9,8,1,5.6,8,1,6,0,8,1
2020/3/9,7.5,8,1,13.1,8,1,19.6,8,1,7.6,8,1,0,0,8,1
2020/3/10,7.5,8,1,14.7,8,1,18.2,8,1,12.6,8,1,24.5,0,8,1
2020/3/11,6.3,8,1,15.3,8,1,21.4,8,1,9.8,8,1,0,0,8,1
2020/3/12,1,8,1,11.4,8,1,16.7,8,1,7,8,1,0,1,8,1
2020/3/13,7.5,8,1,12.5,8,1,18.7,8,1,6.8,8,1,0,1,8,1
2020/3/14,9.3,8,1,5.5,8,1,12.3,8,1,1.3,8,1,25,0,8,1
2020/3/15,4,8,1,7.1,8,1,12,8,1,1.8,8,1,0,1,8,1
2020/3/16,2,8,1,7.1,8,1,14.4,8,1,3.6,8,1,0,1,8,1
2020/3/17,2.5,8,1,7.7,8,1,12.7,8,1,2.3,8,1,0,1,8,1
2020/3/18,0.3,8,1,11.9,8,1,18.4,8,1,4.8,8,1,0,0,8,1
2020/3/19,2.5,8,1,14.6,8,1,22,8,1,6.5,8,1,1,0,8,1
2020/3/20,3,8,1,14.5,8,1,19.4,8,1,9.5,8,1,0,0,8,1
2020/3/21,0.5,8,1,13.8,8,1,21,8,1,7.6,8,1,0,1,8,1
2020/3/22,6.8,8,1,16.8,8,1,23.7,8,1,10.5,8,1,0,1,8,1
2020/3/23,8.5,8,1,10.3,8,1,14,8,1,7.7,8,1,0,0,8,1
2020/3/24,2.5,8,1,8.2,8,1,12.6,8,1,4.7,8,1,0,0,8,1
2020/3/25,0.5,8,1,10,8,1,16,8,1,3.4,8,1,0,1,8,1
2020/3/26,3.5,8,1,13,8,1,20,8,1,7.5,8,1,0,1,8,1
2020/3/27,8,8,1,16.2,8,1,22.8,8,1,9.1,8,1,0,0,8,1
2020/3/28,10,8,1,15.5,8,1,24.6,8,1,7.4,8,1,8.5,0,8,1
2020/3/29,10,8,1,3.6,8,1,7.7,8,1,0.7,8,1,51.5,0,8,1
2020/3/30,10,8,1,7.6,8,1,10.3,8,1,3.5,8,1,0,1,8,1
2020/3/31,10,8,1,9.8,8,1,12.5,8,1,8.2,8,1,0,0,8,1
2020/4/1,10,8,1,11.4,8,1,12.9,8,1,9.3,8,1,31,0,8,1
2020/4/2,3.8,8,1,13.9,8,1,19.4,8,1,9,8,1,0,0,8,1
2020/4/3,4.8,8,1,12.8,8,1,18.2,8,1,6.4,8,1,0,1,8,1
2020/4/4,0.5,8,1,15.7,8,1,22.3,8,1,8.6,8,1,0,1,8,1
2020/4/5,6.3,8,1,10.2,8,1,15.9,8,1,5.6,8,1,0,0,8,1
2020/4/6,4.5,8,1,12.1,8,1,18.4,8,1,6.3,8,1,0,1,8,1
2020/4/7,6.5,8,1,12.4,8,1,18,8,1,7.9,8,1,0,1,8,1
2020/4/8,2,8,1,14.3,8,1,20.2,8,1,7.9,8,1,0,1,8,1
2020/4/9,5,8,1,13.3,8,1,20.2,8,1,8,8,1,0.5,0,8,1
2020/4/10,6.8,8,1,11.2,8,1,17.2,8,1,7.4,8,1,0,1,8,1
2020/4/11,6.5,8,1,11.4,8,1,17,8,1,6.8,8,1,0.5,0,8,1
2020/4/12,10,8,1,10.3,8,1,14.6,8,1,7.4,8,1,6.5,0,8,1
2020/4/13,10,8,1,8,8,1,10.1,8,1,5.4,8,1,132,0,8,1
2020/4/14,2.5,8,1,10.9,8,1,17.2,8,1,5.5,8,1,1.5,0,8,1
2020/4/15,7.3,8,1,13.8,8,1,20.8,8,1,5.5,8,1,0,1,8,1
2020/4/16,10,8,1,11.7,8,1,16.3,8,1,8.6,8,1,0.5,0,8,1
2020/4/17,9.5,8,1,12.4,8,1,17.8,8,1,8.3,8,1,0.5,0,8,1
2020/4/18,8,8,1,12.9,8,1,16.2,8,1,9.8,8,1,89.5,0,8,1
2020/4/19,4.3,8,1,14.7,8,1,22.5,8,1,9,8,1,0,1,8,1
2020/4/20,9.8,8,1,9.7,8,1,10.7,8,1,8.3,8,1,15,0,8,1
2020/4/21,7,8,1,14.2,8,1,18.9,8,1,9,8,1,0,1,8,1
2020/4/22,10,8,1,13.5,8,1,19.2,8,1,8.8,8,1,0,0,8,1
2020/4/23,6.5,8,1,11.9,8,1,17,8,1,6.6,8,1,1,0,8,1
2020/4/24,7,8,1,12.2,8,1,18.4,8,1,6.9,8,1,0.5,0,8,1
2020/4/25,0,8,1,12.7,8,1,18.8,8,1,5.3,8,1,0,1,8,1
2020/4/26,7.5,8,1,18.3,8,1,24.2,8,1,11.5,8,1,0,1,8,1
2020/4/27,10,8,1,12.8,8,1,17.8,8,1,8.5,8,1,12.5,0,8,1
2020/4/28,9.5,8,1,12.3,8,1,19.1,8,1,8,8,1,5,0,8,1
2020/4/29,1.8,8,1,15.1,8,1,21.7,8,1,8.9,8,1,0,1,8,1
2020/4/30,0,8,1,18,8,1,23.9,8,1,11.7,8,1,0,1,8,1
2020/5/1,4,8,1,19.9,8,1,25.5,8,1,16.2,8,1,0,1,8,1
2020/5/2,0.8,8,1,20.6,8,1,26.9,8,1,15.3,8,1,0,1,8,1
2020/5/3,9.8,8,1,20.7,8,1,25.8,8,1,16.5,8,1,0,1,8,1
2020/5/4,10,8,1,19.3,8,1,22.2,8,1,17.3,8,1,2,0,8,1
2020/5/5,6.5,8,1,21.3,8,1,28.4,8,1,16.4,8,1,0,0,8,1
2020/5/6,10,8,1,15.8,8,1,17.3,8,1,14.6,8,1,19,0,8,1
2020/5/7,4.3,8,1,16.5,8,1,22.5,8,1,11,8,1,0.5,0,8,1
2020/5/8,3.8,8,1,16.7,8,1,22.1,8,1,11.1,8,1,0,1,8,1
2020/5/9,10,8,1,18.3,8,1,23,8,1,13.9,8,1,0,0,8,1
2020/5/10,10,8,1,21.5,8,1,25.7,8,1,17.7,8,1,1,0,8,1
2020/5/11,5.5,8,1,22.9,8,1,28.1,8,1,20.2,8,1,0.5,0,8,1
2020/5/12,10,8,1,21.7,8,1,26.5,8,1,19.1,8,1,0,0,8,1
2020/5/13,4.5,8,1,22.3,8,1,28.7,8,1,16.8,8,1,0,1,8,1
2020/5/14,4,8,1,20.8,8,1,26.2,8,1,13.8,8,1,0,1,8,1
2020/5/15,7.5,8,1,21.5,8,1,26.5,8,1,15.2,8,1,0,0,8,1
2020/5/16,10,8,1,18.5,8,1,21.7,8,1,16.4,8,1,24,0,8,1
2020/5/17,5.8,8,1,21.6,8,1,28.2,8,1,15.8,8,1,0,0,8,1
2020/5/18,10,8,1,19.2,8,1,20.1,8,1,18.7,8,1,2,0,8,1
2020/5/19,10,8,1,17.7,8,1,19.2,8,1,13.4,8,1,54.5,0,8,1
2020/5/20,10,8,1,12.7,8,1,15.4,8,1,10.9,8,1,3,0,8,1
2020/5/21,10,8,1,12.7,8,1,14.8,8,1,10.7,8,1,0.5,0,8,1
2020/5/22,10,8,1,15.3,8,1,18.1,8,1,12.8,8,1,1,0,8,1
2020/5/23,8.5,8,1,18.4,8,1,23.7,8,1,15.3,8,1,0,0,8,1
2020/5/24,6.3,8,1,20.8,8,1,26.5,8,1,15.8,8,1,0,1,8,1
2020/5/25,9.3,8,1,21.6,8,1,26.5,8,1,18.1,8,1,0,1,8,1
2020/5/26,9.5,8,1,20.9,8,1,24.3,8,1,18.6,8,1,0.5,0,8,1
2020/5/27,9.8,8,1,21.4,8,1,26.6,8,1,18.4,8,1,0,0,8,1
2020/5/28,8.8,8,1,19.4,8,1,25.2,8,1,12.9,8,1,9.5,0,8,1
2020/5/29,3.5,8,1,20.7,8,1,27.4,8,1,14.1,8,1,0,1,8,1
2020/5/30,7,8,1,22,8,1,27.9,8,1,17.4,8,1,0,1,8,1
2020/5/31,8,8,1,21.3,8,1,24.5,8,1,18.8,8,1,0,0,8,1
2020/6/1,10,8,1,19.6,8,1,21.2,8,1,18.5,8,1,4,0,8,1
2020/6/2,10,8,1,22.3,8,1,26.6,8,1,18.9,8,1,0,0,8,1
2020/6/3,9.8,8,1,24,8,1,28.5,8,1,20.9,8,1,0,0,8,1
2020/6/4,10,8,1,23.5,8,1,27.6,8,1,20.6,8,1,0,0,8,1
2020/6/5,9.3,8,1,24.8,8,1,29.9,8,1,20,8,1,0,1,8,1
2020/6/6,10,8,1,24.2,8,1,28.4,8,1,18.8,8,1,6.5,0,8,1
2020/6/7,7.5,8,1,22,8,1,27.2,8,1,17.4,8,1,0.5,0,8,1
2020/6/8,5.8,8,1,23.2,8,1,28.3,8,1,19.7,8,1,0,0,8,1
2020/6/9,7.3,8,1,25.5,8,1,31,8,1,20.4,8,1,0,1,8,1
2020/6/10,4.8,8,1,26.2,8,1,31.4,8,1,21.8,8,1,0,0,8,1
2020/6/11,9.5,8,1,25.1,8,1,30.5,8,1,22.7,8,1,10,0,8,1
2020/6/12,9,8,1,26.2,8,1,31.6,8,1,22.9,8,1,5.5,0,8,1
2020/6/13,10,8,1,21.3,8,1,24.3,8,1,19.1,8,1,35.5,0,8,1
2020/6/14,10,8,1,21.7,8,1,24,8,1,19.9,8,1,5.5,0,8,1
2020/6/15,9.5,8,1,25.9,8,1,32.6,8,1,21,8,1,0,1,8,1
2020/6/16,7.3,8,1,25.5,8,1,30.5,8,1,21.8,8,1,0,0,8,1
2020/6/17,4,8,1,23.6,8,1,28.8,8,1,19.3,8,1,0,1,8,1
2020/6/18,10,8,1,22.1,8,1,25.5,8,1,19.6,8,1,2,0,8,1
2020/6/19,10,8,1,18.7,8,1,19.8,8,1,18,8,1,50,0,8,1
2020/6/20,6.5,8,1,22.9,8,1,28.7,8,1,17.1,8,1,0,1,8,1
2020/6/21,10,8,1,21.9,8,1,26.5,8,1,17.9,8,1,2.5,0,8,1
2020/6/22,10,8,1,19.2,8,1,21,8,1,17.6,8,1,27.5,0,8,1
2020/6/23,9.3,8,1,22.3,8,1,27.2,8,1,18,8,1,3,0,8,1
2020/6/24,9.5,8,1,22.5,8,1,26.8,8,1,19.3,8,1,0,0,8,1
2020/6/25,10,8,1,20.2,8,1,23.3,8,1,17.9,8,1,14.5,0,8,1
2020/6/26,9,8,1,24.7,8,1,30.9,8,1,19.7,8,1,0,0,8,1
2020/6/27,10,8,1,25.5,8,1,29.3,8,1,22.2,8,1,0,0,8,1
2020/6/28,10,8,1,22.2,8,1,24.9,8,1,20.5,8,1,30,0,8,1
2020/6/29,3.5,8,1,24.9,8,1,29.8,8,1,20.1,8,1,0,1,8,1
2020/6/30,9.8,8,1,24.6,8,1,27.7,8,1,22.2,8,1,15.5,0,8,1
2020/7/1,10,8,1,25.1,8,1,26.7,8,1,22.7,8,1,21,0,8,1
2020/7/2,5.5,8,1,25.9,8,1,30.8,8,1,21.7,8,1,0.5,0,8,1
2020/7/3,10,8,1,23.8,8,1,28.7,8,1,20.3,8,1,6,0,8,1
2020/7/4,10,8,1,23.8,8,1,27.7,8,1,20,8,1,25.5,0,8,1
2020/7/5,10,8,1,24.9,8,1,28.1,8,1,23.2,8,1,3.5,0,8,1
2020/7/6,10,8,1,24.8,8,1,26.9,8,1,22.8,8,1,40.5,0,8,1
2020/7/7,10,8,1,27.2,8,1,29.3,8,1,25.1,8,1,0.5,0,8,1
2020/7/8,10,8,1,26,8,1,28.5,8,1,23.6,8,1,3,0,8,1
2020/7/9,10,8,1,23.7,8,1,26.1,8,1,22.3,8,1,14,0,8,1
2020/7/10,9.8,8,1,25.3,8,1,28.1,8,1,22.7,8,1,0.5,0,8,1
2020/7/11,10,8,1,27.5,8,1,31.2,8,1,24.8,8,1,2,0,8,1
2020/7/12,10,8,1,26,8,1,32.5,8,1,19.9,8,1,0.5,0,8,1
2020/7/13,10,8,1,21,8,1,25.2,8,1,18.7,8,1,6,0,8,1
2020/7/14,10,8,1,22.3,8,1,23.7,8,1,20.6,8,1,6,0,8,1
2020/7/15,10,8,1,20.4,8,1,22,8,1,17.7,8,1,6.5,0,8,1
2020/7/16,10,8,1,20.7,8,1,24.6,8,1,17.4,8,1,0.5,0,8,1
2020/7/17,10,8,1,19.3,8,1,20.6,8,1,18.1,8,1,34.5,0,8,1
2020/7/18,10,8,1,20.4,8,1,22,8,1,19.2,8,1,20,0,8,1
2020/7/19,5.8,8,1,24.3,8,1,29.3,8,1,21.4,8,1,0,1,8,1
2020/7/20,8.5,8,1,26.9,8,1,31.9,8,1,23.1,8,1,0,0,8,1
2020/7/21,10,8,1,25.5,8,1,29,8,1,22.5,8,1,1,0,8,1
2020/7/22,10,8,1,26.6,8,1,29.9,8,1,24.9,8,1,0,0,8,1
2020/7/23,10,8,1,23.2,8,1,26,8,1,22.1,8,1,31.5,0,8,1
2020/7/24,9.8,8,1,24.5,8,1,27.2,8,1,21.6,8,1,0,0,8,1
2020/7/25,10,8,1,25.1,8,1,27.4,8,1,23.7,8,1,23.5,0,8,1
2020/7/26,10,8,1,25.6,8,1,31.2,8,1,23.5,8,1,18.5,0,8,1
2020/7/27,10,8,1,26.3,8,1,30.7,8,1,23.9,8,1,2,0,8,1
2020/7/28,10,8,1,26.7,8,1,31,8,1,23.9,8,1,2,0,8,1
2020/7/29,10,8,1,22.9,8,1,25.6,8,1,21.3,8,1,0,0,8,1
2020/7/30,10,8,1,23.2,8,1,26.5,8,1,20.4,8,1,0,0,8,1
2020/7/31,10,8,1,24.8,8,1,29.6,8,1,22.4,8,1,1,0,8,1
2020/8/1,7.8,8,1,26.1,8,1,31.8,8,1,21.8,8,1,0.5,0,8,1
2020/8/2,5.5,8,1,26.3,8,1,31.5,8,1,22.6,8,1,0,1,8,1
2020/8/3,3.8,8,1,27.2,8,1,32.3,8,1,22.3,8,1,0,1,8,1
2020/8/4,4.3,8,1,28.3,8,1,33.1,8,1,24.5,8,1,0,1,8,1
2020/8/5,3.3,8,1,29.1,8,1,34.2,8,1,25.7,8,1,0,0,8,1
2020/8/6,7.8,8,1,28.5,8,1,33.1,8,1,25.5,8,1,0,1,8,1
2020/8/7,7.5,8,1,29.5,8,1,35.4,8,1,26,8,1,0,1,8,1
2020/8/8,8.3,8,1,28.1,8,1,32.3,8,1,25.1,8,1,0,1,8,1
2020/8/9,9.5,8,1,28.7,8,1,34.7,8,1,23.4,8,1,0,1,8,1
2020/8/10,10,8,1,30.5,8,1,35.2,8,1,26.9,8,1,0,1,8,1
2020/8/11,2.8,8,1,31.7,8,1,37.3,8,1,27,8,1,0,1,8,1
2020/8/12,6.8,8,1,30,8,1,35.8,8,1,27.3,8,1,0.5,0,8,1
2020/8/13,5,8,1,29.4,8,1,36.1,8,1,25.4,8,1,21.5,0,8,1
2020/8/14,2,8,1,29.4,8,1,34.2,8,1,24.9,8,1,0,0,8,1
2020/8/15,3.8,8,1,31,8,1,36.1,8,1,26.9,8,1,0,1,8,1
2020/8/16,7.3,8,1,31.2,8,1,35.4,8,1,28,8,1,0,0,8,1
2020/8/17,7.8,8,1,30.8,8,1,36.5,8,1,27.2,8,1,0,0,8,1
2020/8/18,8.8,8,1,30.3,8,1,34.3,8,1,27.8,8,1,0,1,8,1
2020/8/19,5.3,8,1,29,8,1,34.2,8,1,25.6,8,1,0,1,8,1
2020/8/20,1,8,1,29.7,8,1,34.8,8,1,25.8,8,1,0,1,8,1
2020/8/21,2.3,8,1,30.1,8,1,36,8,1,26,8,1,0,1,8,1
2020/8/22,6,8,1,29.3,8,1,35.2,8,1,24,8,1,0,0,8,1
2020/8/23,9.8,8,1,25.6,8,1,29.4,8,1,23.2,8,1,38,0,8,1
2020/8/24,5,8,1,27.2,8,1,32.3,8,1,23,8,1,0,0,8,1
2020/8/25,6.3,8,1,27.8,8,1,32.2,8,1,24.8,8,1,0,1,8,1
2020/8/26,6,8,1,28.8,8,1,34,8,1,24.3,8,1,0,1,8,1
2020/8/27,4.5,8,1,29.3,8,1,33.6,8,1,26.3,8,1,0,0,8,1
2020/8/28,4.3,8,1,30.2,8,1,34.5,8,1,27,8,1,0,1,8,1
2020/8/29,3.8,8,1,30.3,8,1,35,8,1,26.9,8,1,0,1,8,1
2020/8/30,4.5,8,1,30,8,1,34.9,8,1,26.6,8,1,0,1,8,1
2020/8/31,8.3,8,1,27.5,8,1,32.6,8,1,22.7,8,1,1,0,8,1
2020/9/1,10,8,1,24.9,8,1,27.4,8,1,21.9,8,1,1,0,8,1
2020/9/2,10,8,1,26.8,8,1,32.1,8,1,24,8,1,7.5,0,8,1
2020/9/3,8.5,8,1,28.4,8,1,32.7,8,1,26.4,8,1,3.5,0,8,1
2020/9/4,7.5,8,1,29.3,8,1,35.1,8,1,25.1,8,1,0,0,8,1
2020/9/5,6.5,8,1,28.6,8,1,34.2,8,1,25.3,8,1,8.5,0,8,1
2020/9/6,9.8,8,1,25.7,8,1,29.5,8,1,22.5,8,1,25.5,0,8,1
2020/9/7,9.5,8,1,26.7,8,1,31.2,8,1,24.2,8,1,19,0,8,1
2020/9/8,4,8,1,29.5,8,1,34.2,8,1,26.9,8,1,0,1,8,1
2020/9/9,2.8,8,1,29,8,1,33.6,8,1,25.2,8,1,0.5,0,8,1
2020/9/10,9,8,1,27.7,8,1,31.7,8,1,25.2,8,1,0,0,8,1
2020/9/11,6.8,8,1,28.3,8,1,32.5,8,1,24.9,8,1,0,0,8,1
2020/9/12,10,8,1,23.7,8,1,27.7,8,1,22,8,1,14.5,0,8,1
2020/9/13,7.5,8,1,23.3,8,1,27.8,8,1,20,8,1,0.5,0,8,1
2020/9/14,10,8,1,23.4,8,1,27.2,8,1,20.9,8,1,0.5,0,8,1
2020/9/15,9,8,1,23.8,8,1,27.7,8,1,20.9,8,1,0.5,0,8,1
2020/9/16,9.8,8,1,24,8,1,28.1,8,1,21.2,8,1,2,0,8,1
2020/9/17,9.5,8,1,24.9,8,1,28.4,8,1,22.1,8,1,0,0,8,1
2020/9/18,9,8,1,29,8,1,33.4,8,1,26.4,8,1,0,0,8,1
2020/9/19,8.8,8,1,24.7,8,1,27.1,8,1,22.6,8,1,0,0,8,1
2020/9/20,10,8,1,22.2,8,1,23.7,8,1,20.8,8,1,0.5,0,8,1
2020/9/21,6,8,1,22,8,1,26.1,8,1,19.7,8,1,0.5,0,8,1
2020/9/22,9,8,1,22.5,8,1,27.7,8,1,19.1,8,1,3.5,0,8,1
2020/9/23,10,8,1,20.2,8,1,22.7,8,1,18.6,8,1,7.5,0,8,1
2020/9/24,10,8,1,19,8,1,22.2,8,1,17.9,8,1,10,0,8,1
2020/9/25,10,8,1,19.4,8,1,20.8,8,1,17.8,8,1,5.5,0,8,1
2020/9/26,10,8,1,18.5,8,1,20,8,1,17.8,8,1,6,0,8,1
2020/9/27,9.8,8,1,19.7,8,1,23.5,8,1,17.6,8,1,0.5,0,8,1
2020/9/28,3.5,8,1,21.5,8,1,27.4,8,1,16,8,1,0,1,8,1
2020/9/29,10,8,1,19.7,8,1,23.1,8,1,16.7,8,1,0,0,8,1
2020/9/30,3.8,8,1,20,8,1,25.4,8,1,14.7,8,1,0,1,8,1
2020/10/1,7.8,8,1,19.5,8,1,24.3,8,1,17.1,8,1,1,0,8,1
2020/10/2,2.8,8,1,21,8,1,26.7,8,1,16.2,8,1,0,1,8,1
2020/10/3,8.5,8,1,21.7,8,1,26.3,8,1,18.4,8,1,0,0,8,1
2020/10/4,10,8,1,22,8,1,26.2,8,1,19.5,8,1,0,0,8,1
2020/10/5,10,8,1,21.7,8,1,24.8,8,1,20.1,8,1,0,0,8,1
2020/10/6,8.3,8,1,21,8,1,24.8,8,1,17.9,8,1,0,0,8,1
2020/10/7,8.5,8,1,18.3,8,1,23.9,8,1,14.6,8,1,6,0,8,1
2020/10/8,10,8,1,14.7,8,1,15.5,8,1,13.8,8,1,44,0,8,1
2020/10/9,10,8,1,14.5,8,1,15.4,8,1,13.8,8,1,38,0,8,1
2020/10/10,10,8,1,16,8,1,17.1,8,1,13.8,8,1,73.5,0,8,1
2020/10/11,10,8,1,19.8,8,1,23.3,8,1,17,8,1,0.5,0,8,1
2020/10/12,9.5,8,1,21.5,8,1,25.1,8,1,18.6,8,1,0,0,8,1
